Code,Year,Population - Sex: all - Age: all - Variant: estimates,Population - Sex: all - Age: all - Variant: medium
AGO,1998,15159378,
AGO,1999,15667235,
AGO,2000,16194873,
AGO,2001,16747204,
AGO,2002,17327701,
AGO,2003,17943718,
AGO,2004,18600426,
AGO,2005,19291160,
AGO,2006,20015281,
AGO,2007,20778570,
AGO,2008,21578656,
AGO,2009,22414775,
AGO,2010,23294822,
AGO,2011,24218358,
AGO,2012,25177398,
AGO,2013,26165616,
AGO,2014,27160767,
AGO,2015,28157802,
AGO,2016,29183072,
AGO,2017,30234836,
AGO,2018,31297160,
AGO,2019,32375633,
AGO,2020,33451139,
AGO,2021,34532427,
AGO,2022,35635028,
AGO,2023,36749909,
AGO,2024,,37885854
AGO,2025,,39040034
AGO,2026,,40215180
AGO,2027,,41415124
AGO,2028,,42641683
AGO,2029,,43891852
AGO,2030,,45160457
AGO,2031,,46449968
AGO,2032,,47759511
AGO,2033,,49091477
AGO,2034,,50447456
AGO,2035,,51821718
AGO,2036,,53215943
AGO,2037,,54625866
AGO,2038,,56053784
AGO,2039,,57501914
AGO,2040,,58965326
AGO,2041,,60441185
AGO,2042,,61927907
AGO,2043,,63430881
AGO,2044,,64945301
AGO,2045,,66464328
AGO,2046,,68000596
AGO,2047,,69554166
AGO,2048,,71118785
AGO,2049,,72701389
AGO,2050,,74295397
AGO,2051,,75892821
AGO,2052,,77501971
AGO,2053,,79123453
AGO,2054,,80752713
AGO,2055,,82392215
AGO,2056,,84032202
AGO,2057,,85679411
AGO,2058,,87336040
AGO,2059,,88991590
AGO,2060,,90647915
AGO,2061,,92310986
AGO,2062,,93969987
AGO,2063,,95625119
AGO,2064,,97282775
AGO,2065,,98933226
AGO,2066,,100578472
AGO,2067,,102219409
AGO,2068,,103858185
AGO,2069,,105498664
AGO,2070,,107137079
AGO,2071,,108767793
AGO,2072,,110391409
AGO,2073,,112014394
AGO,2074,,113630808
AGO,2075,,115220836
AGO,2076,,116788428
AGO,2077,,118356154
AGO,2078,,119925104
AGO,2079,,121471112
AGO,2080,,123012398
AGO,2081,,124542888
AGO,2082,,126039001
AGO,2083,,127515740
AGO,2084,,128986048
AGO,2085,,130454008
AGO,2086,,131908573
AGO,2087,,133334691
AGO,2088,,134748100
AGO,2089,,136163364
AGO,2090,,137556708
AGO,2091,,138919843
AGO,2092,,140249385
AGO,2093,,141550053
AGO,2094,,142835151
AGO,2095,,144102529
AGO,2096,,145340839
AGO,2097,,146549583
AGO,2098,,147743370
AGO,2099,,148912810
AGO,2100,,150045577
AIA,1950,5022,
AIA,1951,5229,
AIA,1952,5389,
AIA,1953,5522,
AIA,1954,5668,
AIA,1955,5763,
AIA,1956,5802,
AIA,1957,5823,
AIA,1958,5819,
AIA,1959,5800,
AIA,1960,5801,
AIA,1961,5846,
AIA,1962,5899,
AIA,1963,5943,
AIA,1964,5994,
AIA,1965,6040,
AIA,1966,6095,
AIA,1967,6150,
AIA,1968,6207,
AIA,1969,6257,
AIA,1970,6324,
AIA,1971,6376,
AIA,1972,6427,
AIA,1973,6466,
AIA,1974,6502,
AIA,1975,6519,
AIA,1976,6545,
AIA,1977,6567,
AIA,1978,6587,
AIA,1979,6602,
AIA,1980,6612,
AIA,1981,6628,
AIA,1982,6653,
AIA,1983,6672,
AIA,1984,6764,
AIA,1985,6978,
AIA,1986,7245,
AIA,1987,7519,
AIA,1988,7807,
AIA,1989,8116,
