ISO,Year,GDP per capita growth (annual %)
ABW,1988,18.30468737
ABW,1989,10.06693198
ABW,1990,0.134479696
ABW,1991,2.813434652
ABW,1992,1.111855606
ABW,1993,0.49219478
ABW,1994,2.75152351
ABW,1995,-0.292643138
ABW,1996,-2.733864298
ABW,1997,2.978396644
ABW,1998,-0.487159558
ABW,1999,-0.125965726
ABW,2000,6.519223766
ABW,2001,3.212405688
ABW,2002,-1.628099152
ABW,2003,-0.033839442
ABW,2004,5.026911516
ABW,2005,-2.930823494
ABW,2006,-0.6732577
ABW,2007,2.322677579
ABW,2008,1.061772352
ABW,2009,-12.27493628
ABW,2010,-2.95695265
ABW,2011,2.610525059
ABW,2012,-2.484647977
ABW,2013,4.855279431
ABW,2014,-2.62961536
ABW,2015,-1.63575345
ABW,2016,0.951537825
ABW,2017,7.040657465
ABW,2018,2.234428765
ABW,2019,-2.496550426
ABW,2020,-25.79322942
ABW,2021,25.15496385
ABW,2022,8.912308079
ABW,2023,4.21613214
ABW,2024,
AUS,1960,
AUS,1961,0.46335133
AUS,1962,-1.148080552
AUS,1963,4.198557186
AUS,1964,4.901300074
AUS,1965,3.923448178
AUS,1966,0.067986874
AUS,1967,4.971449833
AUS,1968,3.255944736
AUS,1969,4.828076137
AUS,1970,5.084796088
AUS,1971,0.543808091
AUS,1972,2.017874158
AUS,1973,1.062663505
AUS,1974,1.505003941
AUS,1975,0.095786724
AUS,1976,1.564966117
AUS,1977,2.434497124
AUS,1978,-0.272989275
AUS,1979,2.93205952
AUS,1980,1.787333896
AUS,1981,1.738544701
AUS,1982,1.54942788
AUS,1983,-3.553298335
AUS,1984,3.345558506
AUS,1985,3.885343444
AUS,1986,2.473278414
AUS,1987,1.011353374
AUS,1988,4.0415423
AUS,1989,2.129709089
AUS,1990,2.055705422
AUS,1991,-1.643951636
AUS,1992,-0.689832364
AUS,1993,3.125295413
AUS,1994,2.983767962
AUS,1995,2.735332296
AUS,1996,2.610752936
AUS,1997,2.794925756
AUS,1998,3.625181818
AUS,1999,3.884968555
AUS,2000,2.738929566
AUS,2001,0.723509654
AUS,2002,2.803479629
AUS,2003,1.911812545
AUS,2004,3.115856922
AUS,2005,1.906093171
AUS,2006,1.378027255
AUS,2007,1.896638707
AUS,2008,1.531150067
AUS,2009,-0.185790579
AUS,2010,0.642043486
AUS,2011,0.993946507
AUS,2012,2.118255292
AUS,2013,0.851364693
AUS,2014,1.076363256
AUS,2015,0.729964315
AUS,2016,1.166815387
AUS,2017,0.609016554
AUS,2018,1.350866131
AUS,2019,0.673067166
AUS,2020,-1.343977433
AUS,2021,1.967399837
AUS,2022,2.924100641
AUS,2023,0.964385754
AUS,2024,-0.627097846
AUT,1960,
AUT,1961,4.960717183
AUT,1962,2.021469667
AUT,1963,3.471466159
AUT,1964,5.419336014
AUT,1965,2.810012786
AUT,1966,4.904479004
AUT,1967,2.241009758
AUT,1968,3.931241829
AUT,1969,5.909495926
AUT,1970,6.749434568
AUT,1971,4.646942587
AUT,1972,5.59238102
AUT,1973,4.310906445
AUT,1974,3.765373157
AUT,1975,-0.099030431
AUT,1976,4.76336935
AUT,1977,5.039648225
AUT,1978,-0.129830445
AUT,1979,5.536447972
AUT,1980,1.731377693
AUT,1981,-0.398620558
AUT,1982,1.938121352
AUT,1983,3.139627887
AUT,1984,0.057573487
AUT,1985,2.450566024
AUT,1986,2.236401938
AUT,1987,1.29304521
AUT,1988,3.149746427
AUT,1989,3.420101754
AUT,1990,3.553548082
AUT,1991,2.413986168
AUT,1992,0.976092051
AUT,1993,-0.2987538
AUT,1994,2.008761305
AUT,1995,2.510913051
AUT,1996,2.077848702
AUT,1997,2.030152416
AUT,1998,3.379381263
AUT,1999,3.560238147
AUT,2000,2.941684642
AUT,2001,0.929888061
AUT,2002,0.986311684
AUT,2003,0.650068296
AUT,2004,1.930896889
AUT,2005,1.625659096
AUT,2006,2.759623701
AUT,2007,3.439385492
AUT,2008,1.136211312
AUT,2009,-3.838493076
AUT,2010,1.564533379
AUT,2011,2.581103319
AUT,2012,0.170488694
AUT,2013,-0.836906795
AUT,2014,-0.028580547
AUT,2015,0.174259723
AUT,2016,1.018877232
AUT,2017,1.564306897
AUT,2018,1.986262964
AUT,2019,1.303503176
AUT,2020,-6.706393611
AUT,2021,4.339758399
AUT,2022,4.275933279
AUT,2023,-1.930145664
AUT,2024,-1.676594419
AZE,1960,
AZE,1961,
AZE,1962,
AZE,1963,
AZE,1964,
AZE,1965,
AZE,1966,
AZE,1967,
AZE,1968,
AZE,1969,
AZE,1970,
AZE,1971,
AZE,1972,
AZE,1973,
AZE,1974,
AZE,1975,
AZE,1976,
AZE,1977,
AZE,1978,
AZE,1979,
AZE,1980,
AZE,1981,
AZE,1982,
AZE,1983,
AZE,1984,
AZE,1985,
AZE,1986,
AZE,1987,
AZE,1988,
AZE,1989,
AZE,1990,
AZE,1991,-2.012383104
AZE,1992,-23.76120216
AZE,1993,-24.25686416
AZE,1994,-20.77555855
AZE,1995,-12.81342944
AZE,1996,0.28021389
AZE,1997,4.784282352
AZE,1998,8.960886763
AZE,1999,6.461584076
AZE,2000,10.19102927
AZE,2001,9.051821865
AZE,2002,8.625351139
AZE,2003,9.37646097
AZE,2004,8.301538012
AZE,2005,26.66009473
AZE,2006,32.99706632
AZE,2007,24.04867893
AZE,2008,8.293390791
AZE,2009,7.122238739
AZE,2010,3.549455657
AZE,2011,-2.847182953
AZE,2012,0.853886052
