Code,Year,population using safely managed sanitation services,"population using only basic sanitation services, improved sanitation facilities which are not shared","population using limited sanitation services, improved sanitation facilities which are shared",population using unimproved sanitation facilities,population practicing open defecation
,2006,71.110435,22.917025,1.2428882,4.6305923,0.09906092
,2007,71.46397,22.789656,1.2207756,4.4322705,0.09333163
,2008,71.82133,22.655392,1.1978558,4.2378306,0.087596156
,2009,72.30375,22.391127,1.1746252,4.0484757,0.082020715
,2010,72.81494,22.095537,1.1511459,3.8614948,0.076883465
,2011,73.336365,21.787317,1.126911,3.6771,0.072308764
,2012,73.851494,21.481688,1.102037,3.4969776,0.06780199
,2013,74.36772,21.173351,1.0765277,3.3192687,0.063129656
,2014,74.874245,20.865633,1.0575513,3.1442978,0.058271088
,2015,75.38551,20.55376,1.0381604,2.969633,0.052933685
,2016,75.88386,20.23402,1.0182756,2.8151362,0.04871137
,2017,76.426926,19.85618,0.99840903,2.6738553,0.044629827
,2018,76.94208,19.4927,0.9784998,2.5464337,0.040287122
,2019,77.35383,19.231808,0.95812404,2.4193788,0.036862373
,2020,77.64837,19.025587,0.9335946,2.345366,0.047086254
,2021,77.95278,18.800755,0.9285288,2.2737865,0.044147436
,2022,78.286964,18.543304,0.9099375,2.2167614,0.04303023
,2000,78.17334,17.751554,0.7608129,3.2977111,0.01658426
,2001,78.20931,17.521883,0.73130447,3.522385,0.015118349
,2002,78.41499,17.4127,0.7297741,3.4287004,0.013831875
,2003,78.64791,17.27842,0.7292448,3.331873,0.012554647
,2004,78.92763,17.104406,0.72187626,3.2347972,0.011290409
,2005,79.20626,16.93267,0.71270233,3.1383474,0.010015537
,2006,79.4423,16.813871,0.7050047,3.0299587,0.008869224
,2007,79.71403,16.65738,0.6959264,2.9250143,0.007653427
,2008,79.98417,16.498919,0.6868443,2.8235946,0.006472106
,2009,80.35322,16.237005,0.67790717,2.7265394,0.00533294
,2010,80.75088,15.943977,0.6692149,2.6314454,0.004487057
,2011,81.14506,15.645988,0.6604123,2.5447493,0.003794332
,2012,81.52814,15.355786,0.65162486,2.4612412,0.003207116
,2013,81.906136,15.068322,0.64292675,2.3799767,0.002637924
,2014,82.264946,14.797086,0.6343242,2.3015552,0.002087607
,2015,82.60736,14.542995,0.625781,2.2221215,0.001737766
,2016,82.94154,14.296464,0.6172548,2.1431713,0.001569734
,2017,83.29943,14.016275,0.60865986,2.0742314,0.001405659
,2018,83.62303,13.760363,0.60011494,2.0153024,0.001184746
,2019,83.85152,13.599279,0.59126747,1.95685,0.001083243
,2020,83.96759,13.5335245,0.5869321,1.9109222,0.001034262
,2021,84.08797,13.463347,0.58387417,1.8638245,0.000987668
,2022,84.23759,13.368594,0.56712276,1.8256735,0.001021591
FLK,2000,,,0,0,0
FLK,2001,,,0,0,0
FLK,2002,,,0,0,0
FLK,2003,,,0,0,0
FLK,2004,,,0,0,0
FLK,2005,,,0,0,0
FLK,2006,,,0,0,0
FLK,2007,,,0,0,0
FLK,2008,,,0,1.1906047e-07,0
FLK,2009,,,0,2.238672e-07,0
FLK,2010,,,0,7.3313527e-07,0
FLK,2011,,,0,1.5018493e-06,0
FLK,2012,,,0,0,0
FLK,2013,,,0,2.9253815e-07,0
FLK,2014,,,0,0,0
FLK,2015,,,0,1.9728298e-06,0
FLK,2016,,,0,0,0
FLK,2017,,,0,0,0
FLK,2018,,,0,0,0
FLK,2019,,,0,5.783739e-07,0
FLK,2020,,,0,2.1506667e-06,0
FLK,2021,,,0,1.6215504e-06,0
FLK,2022,,,0,0,0
FRO,2007,,,0,9.116525,0
FRO,2008,,,0,9.116525,0
FRO,2009,,,0,9.116525,0
FRO,2010,,,0,9.116525,0
FRO,2011,,,0,9.116525,0
FRO,2012,,,0,9.116525,0
FRO,2013,,,0,9.116525,0
FRO,2014,,,0,9.116525,0
FRO,2015,,,0,9.116525,0
FJI,2000,42.906708,44.683872,1.8642905,10.033712,0.51141816
FJI,2001,42.898014,44.747192,1.862647,9.983977,0.50816816
FJI,2002,42.88932,44.810513,1.8610035,9.934244,0.50491816
FJI,2003,43.44612,44.891163,1.8734275,9.311796,0.47749183
FJI,2004,43.99712,44.971825,1.885683,8.69497,0.45040527
FJI,2005,44.542427,45.05201,1.897784,8.084099,0.42368066
FJI,2006,44.950703,44.998642,2.174508,7.4788513,0.39729583
FJI,2007,45.3501,44.944515,2.4547951,6.8793297,0.37125823
FJI,2008,45.73431,44.904835,2.7382636,6.2775664,0.34502622
FJI,2009,46.106647,44.86786,3.0252001,5.681188,0.31910667
FJI,2010,46.46844,44.830082,3.3156312,5.092212,0.29363462
FJI,2011,46.819912,44.791187,3.6095028,4.510777,0.26862007
FJI,2012,47.160946,44.751495,3.9067488,3.9367554,0.24405396
FJI,2013,47.49199,44.710384,4.2073183,3.3703554,0.2199513
FJI,2014,47.812836,44.668324,4.511143,2.8113964,0.1962992
FJI,2015,48.123547,44.625317,4.818164,2.2598734,0.1730976
FJI,2016,48.4243,44.58121,5.1283216,1.7158166,0.15034863
FJI,2017,48.71531,44.535862,5.4415584,1.1792164,0.12805265
FJI,2018,48.996536,44.489426,5.757812,0.6500203,0.10620577
FJI,2019,49.268486,44.441456,6.077028,0.12822205,0.084809005
FJI,2020,49.23889,44.382668,6.3784404,3.182983e-07,0
FJI,2021,49.016064,44.3168,6.667137,1.5842828e-06,0
FJI,2022,48.79404,44.249702,6.9562564,9.452983e-07,0
FIN,2000,86.482155,12.966046,0.55176663,3.130296e-05,0
FIN,2001,86.642525,12.805661,0.5517794,3.4998717e-05,0
FIN,2002,86.802895,12.645279,0.5517887,3.475174e-05,0
FIN,2003,86.96327,12.4849,0.55179805,3.1936e-05,0
FIN,2004,87.12364,12.324516,0.5518072,3.3162032e-05,0
FIN,2005,87.28401,12.164133,0.5518164,3.52482e-05,0
FIN,2006,87.44439,12.00375,0.5518255,3.7312027e-05,0
FIN,2007,87.60476,11.843369,0.5518345,3.5973015e-05,0
FIN,2008,87.76513,11.682983,0.5518435,4.225612e-05,0
FIN,2009,87.92551,11.522602,0.5518525,4.131183e-05,0
FIN,2010,88.08586,11.362217,0.551876,4.386031e-05,0
FIN,2011,88.24621,11.201834,0.55191344,4.1936695e-05,0
FIN,2012,88.40656,11.041451,0.5519499,3.710487e-05,0
FIN,2013,88.566925,10.881067,0.55196947,3.951608e-05,0
FIN,2014,88.7273,10.720687,0.5519729,3.930978e-05,0
FIN,2015,88.88768,10.560305,0.5519764,4.127704e-05,0
FIN,2016,89.04805,10.39992,0.5519798,4.6571284e-05,0
FIN,2017,89.208435,10.239544,0.55198324,4.030454e-05,0
FIN,2018,89.368805,10.079159,0.5519872,4.6869176e-05,0
FIN,2019,89.52918,9.918779,0.5519916,4.335427e-05,0
FIN,2020,89.68956,9.758397,0.55199647,4.5692846e-05,0
FIN,2021,89.84994,9.598018,0.5520019,4.4367232e-05,0
FIN,2022,90.010315,9.437635,0.5520078,4.514795e-05,0
FRA,2000,88.83075,9.832279,1.3369718,1.4515571e-06,0
FRA,2001,88.84921,9.813045,1.3377452,0,0
FRA,2002,88.86768,9.793807,1.3385096,3.065904e-06,0
FRA,2003,88.86521,9.795519,1.3392708,4.708826e-07,0
FRA,2004,88.86272,9.797255,1.3400292,0,0
FRA,2005,88.860214,9.799015,1.3407755,0,0
FRA,2006,88.85768,9.800799,1.3415216,0,0
FRA,2007,88.85513,9.8026085,1.3422588,0,0
FRA,2008,88.852554,9.804441,1.3430051,0,0
FRA,2009,88.849945,9.806298,1.3437573,0,0
FRA,2010,88.847305,9.808176,1.3445185,2.5147303e-06,0
FRA,2011,88.844635,9.810081,1.345283,6.7204013e-07,0
FRA,2012,88.921425,9.732514,1.3460563,1.5235705e-06,0
FRA,2013,88.99779,9.655381,1.3468329,0,0
FRA,2014,89.07371,9.578677,1.3476152,2.7397843e-06,0
FRA,2015,89.14919,9.502409,1.3484038,0,0
FRA,2016,89.224236,9.426569,1.3491954,2.5272773e-06,0
FRA,2017,89.29885,9.351165,1.34999,0,0
FRA,2018,89.373024,9.276189,1.3507875,5.9555936e-07,0
FRA,2019,89.44677,9.201649,1.3515881,0,0
FRA,2020,89.52007,9.127537,1.3523917,1.9264678e-06,0
FRA,2021,89.59294,9.05386,1.3531984,0,0
FRA,2022,89.66538,8.980615,1.3540051,0,0
GUF,2001,69.8496,21.767685,0,8.382715,0
GUF,2002,69.8496,21.767685,0,8.382715,0
GUF,2003,69.8496,21.767685,0,8.382715,0
GUF,2004,69.8496,21.767685,0,8.382715,0
GUF,2005,69.8496,21.767685,0,8.382715,0
GUF,2006,70.172775,21.563984,0,8.263238,0
GUF,2007,70.49596,21.360283,0,8.14376,0
GUF,2008,70.81914,21.156582,0,8.024282,0
GUF,2009,71.14231,20.95288,0,7.904804,0
GUF,2010,71.46549,20.74918,0,7.785326,0
GUF,2011,71.78867,20.545479,0,7.6658483,0
GUF,2012,72.111855,20.34178,0,7.5463705,0
GUF,2013,72.43503,20.138079,0,7.4268923,0
GUF,2014,72.75821,19.934378,0,7.3074145,0
GUF,2015,73.08139,19.730677,0,7.187937,0
GUF,2016,73.404564,19.526976,0,7.068459,0
GUF,2017,73.727745,19.323275,0,6.948981,0
GUF,2018,74.05093,19.119574,0,6.829503,0
GUF,2019,74.3741,18.915873,0,6.7100253,0
GUF,2020,74.69728,18.712172,0,6.590547,0
GUF,2021,75.02046,18.50847,0,6.4710693,0
GUF,2022,75.02046,18.50847,0,6.4710693,0
PYF,2000,,,0,0.2731119,1.6246369
PYF,2001,,,0,0.4392563,1.5163277
PYF,2002,,,0,0.6054007,1.4080187
PYF,2003,,,0,0.7715451,1.2997096
PYF,2004,,,0,0.9376895,1.1914004
PYF,2005,,,0,1.1038339,1.0830913
PYF,2006,,,0,1.2699783,0.97478217
PYF,2007,,,0,1.4361227,0.866473
PYF,2008,,,0,1.602267,0.75816387
PYF,2009,,,0,1.7684115,0.6498548
PYF,2010,,,0,1.9345559,0.5415456
PYF,2011,,,0,2.1007004,0.4332365
PYF,2012,,,0,2.2668447,0.3249274
PYF,2013,,,0,2.4329891,0.21661825
