Code,Year,population using safely managed drinking water services,population using only basic drinking water services,population using limited drinking water services,population using unimproved drinking water services,population using surface water as a primary source of drinking water
BHS,2004,,,0,1.5834471,0
BHS,2005,,,0,1.5406828,0
BHS,2006,,,0,1.4979185,0
BHS,2007,,,0,1.4551541,0
BHS,2008,,,0,1.4123898,0
BHS,2009,,,0,1.3696254,0
BHS,2010,,,0,1.3268611,0
BHS,2011,,,0,1.2840968,0
BHS,2012,,,0,1.2413325,0
BHS,2013,,,0,1.1985681,0
BHS,2014,,,0,1.1558038,0
BHS,2015,,,0,1.1130395,0
BHS,2016,,,0,1.1130395,0
BHS,2017,,,0,1.1130395,0
BHS,2018,,,0,1.1130395,0
BHS,2019,,,0,1.1130395,0
BHR,2000,98.88198,1.0766857,0,0.0413346,0
BHR,2001,98.8885,1.0682303,0,0.04327292,0
BHR,2002,98.89501,1.0597752,0,0.045211237,0
BHR,2003,98.90153,1.0513206,0,0.047149558,0
BHR,2004,98.90804,1.0428661,0,0.049087875,0
BHR,2005,98.91456,1.0344121,0,0.051026195,0
BHR,2006,98.921074,1.0259584,0,0.052964512,0
BHR,2007,98.92759,1.0175049,0,0.054902833,0
BHR,2008,98.927,1.0161599,0,0.05684115,0
BHR,2009,98.92508,1.0161402,0,0.05877947,0
BHR,2010,98.923164,1.0161206,0,0.060717788,0
BHR,2011,98.92124,1.0161009,0,0.062656105,0
BHR,2012,98.91933,1.0160811,0,0.064594425,0
BHR,2013,98.917404,1.0160614,0,0.066532746,0
BHR,2014,98.91549,1.0160418,0,0.06847107,0
BHR,2015,98.91357,1.016022,0,0.07040939,0
BHR,2016,98.91165,1.0160023,0,0.0723477,0
BHR,2017,98.90973,1.0159826,0,0.07428602,0
BHR,2018,98.907814,1.0159628,0,0.07622434,0
BHR,2019,98.90589,1.0159432,0,0.07816266,0
BHR,2020,98.90398,1.0159235,0,0.080100976,0
BHR,2021,98.90398,1.0159235,0,0.080100976,0
BHR,2022,98.90398,1.0159235,0,0.080100976,0
BGD,2000,55.318703,39.50022,1.1302779,1.8387239,2.2120771
BGD,2001,55.325115,39.66857,1.1258554,1.7462933,2.1341653
BGD,2002,55.303715,39.870056,1.1193911,1.6528677,2.0539715
BGD,2003,55.278748,40.073814,1.1127197,1.5603361,1.9743817
BGD,2004,55.250355,40.27962,1.1058534,1.4687358,1.8954383
BGD,2005,55.21885,40.49011,1.0957308,1.3781132,1.8171985
BGD,2006,55.183674,40.70104,1.0871848,1.2884711,1.7396322
BGD,2007,55.14497,40.91213,1.0802805,1.1998408,1.6627803
BGD,2008,55.102875,41.123104,1.0750777,1.1122632,1.5866805
BGD,2009,55.057545,41.333687,1.0716311,1.0257668,1.5113689
BGD,2010,55.008587,41.54424,1.0699744,0.9403637,1.4368365
BGD,2011,54.95632,41.754276,1.0701681,0.8561018,1.3631328
BGD,2012,55.30369,41.56069,1.0722705,0.7730045,1.2903404
BGD,2013,55.666878,41.347183,1.0763122,0.6911093,1.2185167
BGD,2014,56.04548,41.114185,1.0823025,0.6104043,1.1476295
BGD,2015,56.440197,40.860905,1.0902575,0.530912,1.0777293
BGD,2016,56.8508,40.587593,1.100188,0.45262477,1.0087962
BGD,2017,57.277603,40.29389,1.1120996,0.37555438,0.94085264
BGD,2018,57.720745,39.979668,1.1259929,0.2996881,0.8739075
BGD,2019,58.180214,39.644924,1.1418688,0.22503568,0.8079589
BGD,2020,58.656,39.289677,1.1597295,0.15158977,0.7430048
BGD,2021,59.129845,38.90317,1.179315,0.1088879,0.67877746
BGD,2022,59.109295,38.987766,1.1870869,0.10052952,0.61532056
BRB,2000,,,0.2670844,1.4084921,0
BRB,2001,,,0.26711157,1.3984636,0
BRB,2002,,,0.26713872,1.388435,0
BRB,2003,,,0.2671659,1.3784064,0
BRB,2004,,,0.26719308,1.3683778,0
BRB,2005,,,0.26722023,1.3583492,0
BRB,2006,,,0.2672474,1.3483206,0
BRB,2007,,,0.26727456,1.338292,0
BRB,2008,,,0.26730174,1.3282634,0
BRB,2009,,,0.2673289,1.3182349,0
BRB,2010,,,0.26735607,1.3082063,0
BRB,2011,,,0.26738325,1.2981777,0
BRB,2012,,,0.2674104,1.2881491,0
BRB,2013,,,0.26743758,1.2781205,0
BRB,2014,,,0.26746473,1.2680919,0
BRB,2015,,,0.2674919,1.2580633,0
BRB,2016,,,0.2675191,1.2480347,0
BRB,2017,,,0.26754624,1.2380062,0
BRB,2018,,,0.26757342,1.2279776,0
BRB,2019,,,0.26760057,1.217949,0
BRB,2020,,,0.26760057,1.217949,0
BRB,2021,,,0.26760057,1.217949,0
BRB,2022,,,0.26760057,1.217949,0
BLR,2000,81.812706,16.543528,1.353895,0.28986943,0
BLR,2001,81.963066,16.385468,1.3632792,0.28818372,0
BLR,2002,82.11219,16.228714,1.3725859,0.28651065,0
BLR,2003,82.25976,16.073587,1.381796,0.28485942,0
BLR,2004,83.36191,14.966905,1.3672777,0.30391103,0
BLR,2005,84.4452,13.873681,1.3588262,0.32229388,0
BLR,2006,85.50994,12.801058,1.3489813,0.3400166,0
BLR,2007,86.55645,11.748695,1.3377653,0.3570919,0
BLR,2008,87.58524,10.716019,1.3252137,0.3735267,0
BLR,2009,88.59596,9.703377,1.3113099,0.38934818,0
BLR,2010,89.600494,8.698764,1.2966955,0.40404925,0
BLR,2011,90.58958,7.711736,1.280822,0.41786334,0
BLR,2012,91.558914,6.7466316,1.2634583,0.43099567,0
BLR,2013,92.31101,6.000909,1.244635,0.4434466,0
BLR,2014,92.40423,5.9161363,1.2243778,0.4552608,0
BLR,2015,92.496704,5.834149,1.2027277,0.46641672,0
BLR,2016,92.588005,5.7553306,1.1797073,0.47695822,0
BLR,2017,92.678314,5.679439,1.1553515,0.48689392,0
BLR,2018,92.76655,5.6074533,1.1296949,0.49630684,0
BLR,2019,92.85267,5.539317,1.1027882,0.50522494,0
BLR,2020,92.93711,5.7144623,0.8347874,0.5136394,0
BLR,2021,93.0194,6.168514,0.290469,0.5216144,0
BLR,2022,93.099754,6.079112,0.2919811,0.5291508,0
BEL,2000,99.63135,0.36864972,0,3.0992264e-06,0
BEL,2001,99.63135,0.36864972,0,1.4327425e-06,0
BEL,2002,99.631355,0.36864716,0,0,0
BEL,2003,99.63135,0.36864972,0,3.344376e-06,0
BEL,2004,99.631355,0.3686463,0,0,0
BEL,2005,99.631355,0.36864716,0,0,0
BEL,2006,99.63135,0.36864972,0,1.6725161e-06,0
BEL,2007,99.63135,0.36864972,0,2.3763941e-06,0
BEL,2008,99.63135,0.36864972,0,4.5201464e-06,0
BEL,2009,99.63135,0.36864972,0,1.2454129e-06,0
BEL,2010,99.63966,0.36033466,0,6.4413223e-07,0
BEL,2011,99.64798,0.3520196,0,4.2128395e-06,0
BEL,2012,99.656296,0.34370458,0,1.1763132e-06,0
BEL,2013,99.664604,0.33538952,0,4.363558e-06,0
BEL,2014,99.67293,0.32707447,0,1.4373134e-06,0
BEL,2015,99.68124,0.3187594,0,3.7180087e-06,0
BEL,2016,99.68956,0.31044036,0,0,0
BEL,2017,99.69787,0.30212933,0,1.622316e-06,0
BEL,2018,99.706184,0.293814,0,0,0
BEL,2019,99.71451,0.28549546,0,0,0
BEL,2020,99.72281,0.2771842,0,3.7365285e-06,0
BEL,2021,99.73113,0.26886567,0,0,0
BEL,2022,99.73945,0.26055062,0,0,0
BLZ,2000,,,1.086299,8.399951,3.082263
BLZ,2001,,,1.0951315,7.940291,2.8826199
